time,chamber_pressure_psia,chamber_temperature_C,fuel_pressure_psia,oxid_pressure_psia,fuel_line_drop_psia,fuel_bv_drop_psia,fuel_injector_drop_psia,oxid_line_drop_psia,oxid_bv_drop_psia,oxid_injector_drop_psia,fuel_volumetric_gpm,oxid_volumetric_gpm,fuel_line_velocity_mps,oxid_line_velocity_mps,fuel_injector_velocity_mps,oxid_injector_velocity_mps,fuel_line_reynolds_Re,oxid_line_reynolds_Re,fuel_volume_gal,oxid_volume_gal,throat_diameter_inches,thrust_lbf,exit_velocity_m_s,exit_pressure_psia,o_f_ratio,t_time_s
0.052,362.152169152416,2937.20944442309,570.720664460449,570.64434539606,11.0337736709848,2.18468900542992,197.228631658088,5.74165012805608,3.33585941612821,197.536069319055,9.2343567751442,9.40012237399749,6.21834564470964,6.3299709386821,4.39902916734516,4.47729741515842,36552.4091692872,11246895.1290115,0.991974871265646,0.99183081247488,1.24,744.45086274428,2933.67511788638,15.6477226422874,1.5,0.052
0.053,362.113791593041,2937.19947385722,570.639133515781,570.561370098652,11.0313248680702,2.18423033285318,197.187223766867,5.74038716914617,3.33515905684127,197.494596881702,9.23338735374343,9.39913555054881,6.21769284370876,6.32930641927446,4.39856735791747,4.47682738914171,36548.5719028093,11245714.4316336,0.991820973398298,0.991674151992575,1.24,744.371359406498,2933.66979342183,15.6460891010177,1.5,0.053
0.054,362.075425333916,2937.18950622717,570.557631090837,570.478424188823,11.0288770676497,2.18377184469181,197.145832524235,5.73912472540692,3.33445897914302,197.45314111889,9.23241822038164,9.39814902030968,6.21704023667113,6.3286420973119,4.39810568570473,4.47635750278131,36544.7357764778,11244534.0850701,0.991667091685571,0.991517507954883,1.24,744.291879972176,2933.66447052947,15.6444560355622,1.5,0.054
0.055,362.037070369513,2937.17954153152,570.476157169867,570.395507650176,11.0264302691194,2.18331354083572,197.104457920255,5.73786279652864,3.3337591828654,197.411702020666,9.23144937491683,9.39716278313556,6.21638782350114,6.32797797269708,4.39764415063931,4.47588775600837,36540.9007897306,11243354.0891479,0.991513226122669,0.991360880356919,1.24,744.21242442942,2933.65914920853,15.6428234456901,1.5,0.055
0.056,361.998726694302,2937.16957976882,570.394711737135,570.312620466329,11.0239844718762,2.18285542117492,197.063099944996,5.73660138220187,3.33305966784043,197.370279577084,9.23048081720707,9.39617683888197,6.21573560410321,6.32731404533273,4.39718275265358,4.47541814875408,36537.0669420059,11242174.4436941,0.991359376704792,0.991204269193801,1.24,744.132992766339,2933.65382945823,15.6411913311708,1.5,0.056
0.057,361.960394302762,2937.15962093764,570.313294776915,570.229762620909,11.0215396753173,2.18239748559951,197.021758588537,5.73534048211743,3.3323604339003,197.328873778207,9.22951254711056,9.39519118740457,6.21508357838185,6.32665031512163,4.39672149168001,4.47494868094968,36533.2342327425,11240995.1485362,0.991205543427147,0.991047674460647,1.24,744.053584971059,2933.64851127781,15.6395596917736,1.5,0.057
0.058,361.922073189371,2937.14966503655,570.231906273493,570.146934097559,11.0190958788405,2.18193973399966,196.980433840962,5.73408009596637,3.33166148087732,197.287484614104,9.22854456448558,9.39420582855909,6.21443174624165,6.32598678196665,4.39626036765108,4.47447935252646,36529.4026613793,11239816.2035013,0.991051726284942,0.990891096152578,1.24,743.974201031704,2933.64319466648,15.6379285272681,1.5,0.058
0.059,361.883763348615,2937.1397120641,570.150546211167,570.064134879932,11.0166530818441,2.18148216626563,196.939125692366,5.73282022343998,3.33096280860394,197.246112074854,9.22757686919052,9.39322076220138,6.21378010758722,6.3253234457707,4.39579938049932,4.47401016341576,36525.5722273559,11238637.6084172,0.990897925273385,0.990734534264719,1.24,743.894840936413,2933.6378796235,15.6362978374242,1.5,0.059
0.06,361.84546477498,2937.12976201888,570.069214574248,569.981364951694,11.0142112837267,2.18102478228779,196.89783413285,5.7315608642298,3.33026441691273,197.204756150543,9.22660946108386,9.39223598818738,6.21312866232328,6.32466030643679,4.39533853015733,4.47354111354896,36521.7429301119,11237459.3631114,0.99074414038769,0.990577988792197,1.24,743.815504673332,2933.63256614808,15.6346676220117,1.5,0.06
0.061,361.807177462958,2937.11981489945,569.987911347057,569.898624296523,11.0117704838875,2.18056758195657,196.856559152523,5.73030201802761,3.3295663056364,197.163416831264,9.22564234002418,9.39125150637313,6.21247741035459,6.32399736386796,4.39487781655773,4.4730722028575,36517.9147690878,11236281.4674116,0.990590371623071,0.99042145973014,1.24,743.736192230614,2933.62725423945,15.6330378808006,1.5,0.061
